x,y
2015-09-08,400
2015-09-02,330
2015-08-25,320
2015-08-18,310
2015-08-04,300
2015-07-28,250
2015-07-17,240
2015-07-09,234
2015-07-09,012.7
2015-07-09,010.40
2015-07-04,233
2015-07-03,012.6
2015-07-01,232
2015-06-23,231
2015-06-22,012.5
2015-06-18,010.39
2015-06-13,230
2015-06-01,221
2015-05-31,220
2015-05-24,210
2015-05-22,012.4
2015-05-15,202
2015-05-13,012.3
2015-05-07,201
2015-05-04,200
2015-04-20,181
2015-04-14,170
2015-04-06,164
2015-03-31,163
2015-03-31,012.2
2015-03-23,162
2015-03-23,012.1
2015-03-23,010.38
2015-03-20,161
2015-03-19,160
2015-03-11,010.37
2015-03-09,151
2015-03-06,150
2015-03-02,143
2015-02-28,142
2015-02-26,141
2015-02-20,130
2015-02-10,120
2015-02-06,012.0
2015-02-03,110
2015-01-26,010.36
2015-01-24,104
2015-01-20,103
2015-01-16,102
2015-01-14,101
2014-09-24,011.14
2014-05-01,011.13
2014-03-11,011.12
2014-01-29,011.11
2013-12-31,011.10
2013-11-20,011.9
2013-10-30,011.8
2013-08-21,011.7
2013-08-21,011.6
2013-08-06,011.5
2013-07-12,011.4
2013-06-26,011.3
2013-05-13,011.2
2013-04-19,011.1
2013-03-28,011.0
2014-12-22,010.35
2014-12-17,010.34
2014-10-20,010.33
2014-09-16,010.32
2014-08-19,010.31
2014-07-31,010.30
2014-06-05,010.29
2014-05-01,010.28
2014-05-01,010.27
2014-02-18,010.26
2014-01-23,010.25
2013-12-18,010.24
2013-12-12,010.23
2013-11-12,010.22
2013-10-18,010.21
2013-09-30,010.20
2013-09-24,010.19
2013-09-04,010.18
2013-08-21,010.17
2013-08-16,010.16
2013-07-25,010.15
2013-07-25,010.14
2013-07-09,010.13
2013-06-18,010.12
2013-06-13,010.11
2013-06-04,010.10
2013-05-30,010.9
2013-05-24,010.8
2013-05-17,010.7
2013-05-14,010.6
2013-04-23,010.5
2013-04-11,010.4
2013-04-03,010.3
2013-03-28,010.2
2013-03-21,010.1
2013-03-11,010.0
2013-03-06,09.12
2013-03-01,09.11
2013-02-19,09.10
2013-02-07,09.9
2013-01-24,09.8
2013-01-18,09.7
2013-01-11,09.6
2012-12-30,09.5
2012-12-21,09.4
2012-10-24,09.3
2012-09-17,09.2
2012-08-28,09.1
2012-07-20,09.0
2013-06-13,08.25
2013-06-04,08.24
2013-04-09,08.23
2013-03-07,08.22
2013-02-25,08.21
2013-02-15,08.20
2013-02-06,08.19
2013-01-18,08.18
2013-01-09,08.17
2012-12-13,08.16
2012-11-26,08.15
2012-10-25,08.14
2012-10-25,08.13
2012-10-12,08.12
2012-09-27,08.11
2012-09-25,08.10
2012-09-11,08.9
2012-08-22,08.8
2012-08-15,08.7
2012-08-07,08.6
2012-08-02,08.5
2012-07-25,08.4
2012-07-19,08.3
2012-07-09,08.2
2012-06-29,08.1
2012-06-25,08.0
2012-06-19,07.12
2012-06-15,07.11
2012-06-11,07.10
2012-05-28,07.9
2012-04-18,07.8
2012-03-30,07.7
2012-03-13,07.6
2012-02-23,07.5
2012-02-14,07.4
2012-02-07,07.3
2012-02-01,07.2
2012-01-23,07.1
2012-01-16,07.0
2012-07-10,06.20
2012-06-06,06.19
2012-05-15,06.18
2012-05-04,06.17
2012-04-30,06.16
2012-04-09,06.15
2012-03-22,06.14
2012-03-15,06.13
2012-03-02,06.12
2012-02-17,06.11
2012-02-02,06.10
2012-01-27,06.9
2012-01-19,06.8
2012-01-06,06.7
2011-12-14,06.6
2011-12-04,06.5
2011-12-02,06.4
2011-11-25,06.3
2011-11-18,06.2
2011-11-11,06.1
2011-11-04,06.0
2011-10-21,05.10
2011-10-10,05.9
2011-09-30,05.8
2011-09-16,05.7
2011-09-08,05.6
2011-08-26,05.5
2011-08-12,05.4
2011-08-01,05.3
2011-07-22,05.2
2011-07-14,05.1
2011-07-05,05.0
2011-09-15,04.12
2011-08-17,04.11
2011-07-19,04.10
2011-06-29,04.9
2011-05-20,04.8
2011-04-22,04.7
2011-04-13,04.6
2011-04-01,04.5
2011-03-26,04.4
2011-03-18,04.3
2011-03-02,04.2
2011-02-19,04.1
2011-02-10,04.0
2011-02-04,03.8
2011-01-27,03.7
2011-01-21,03.6
2011-01-16,03.5
2011-01-08,03.4
2011-01-02,03.3
2010-12-16,03.2
2010-11-16,03.1
2010-10-23,03.0
2010-08-20,02.0
2010-08-13,01.104
2010-08-04,01.103
2010-07-25,01.102
2010-07-16,01.101
2010-07-03,01.100
2010-06-21,01.99
2010-06-11,01.98
2010-05-29,01.97
2010-05-21,01.96
2010-05-13,01.95
2010-05-06,01.94
2010-04-29,01.93
2010-04-23,01.92
2010-04-15,01.91
2010-04-09,01.90
2010-03-19,01.33
2010-03-12,01.32
2010-03-05,01.31
2010-02-22,01.30
2010-02-17,01.29
2010-02-09,01.28
2010-02-03,01.27
2010-01-20,01.26
2010-01-09,01.25
2009-12-31,01.24
2009-12-22,01.23
2009-12-19,01.22
2009-12-06,01.21
2009-11-28,01.20
2009-11-28,01.19
2009-11-17,01.18
2009-11-07,01.17
2009-11-03,01.16
2009-10-28,01.15
2009-10-09,01.14
2009-09-30,01.13
2009-09-24,01.12
2009-09-18,01.11
2009-09-11,01.10
2009-09-05,01.9
2009-08-27,01.7
2009-08-13,01.4
2009-08-01,01.2
2009-07-27,01.1
2009-06-30,01.0
2009-06-24,00.6
2009-06-18,00.5
2009-06-13,00.4
2009-06-11,00.3
