2015-09-08, Version 4.0.0
2015-09-02, Version 3.3.0
2015-08-25, Version 3.2.0
2015-08-18, Version 3.1.0
2015-08-04, Version 3.0.0
2015-07-28, Version 2.5.0
2015-07-17, Version 2.4.0
2015-07-09, Version 2.3.4
2015-07-09, Version 0.12.7 
2015-07-09, Version 0.10.40 
2015-07-04, Version 2.3.3
2015-07-03, Version 0.12.6 
2015-07-01, Version 2.3.2
2015-06-23, Version 2.3.1
2015-06-22, Version 0.12.5 
2015-06-18, Version 0.10.39 
2015-06-13, Version 2.3.0
2015-06-01, Version 2.2.1
2015-05-31, Version 2.2.0
2015-05-24, Version 2.1.0
2015-05-22, Version 0.12.4
2015-05-15, Version 2.0.2
2015-05-13, Version 0.12.3
2015-05-07, Version 2.0.1
2015-05-04, Version 2.0.0
2015-04-20, Version 1.8.1
2015-04-14, Version 1.7.0
2015-04-06, Version 1.6.4
2015-03-31, Version 1.6.3
2015-03-31, Version 0.12.2
2015-03-23, Version 1.6.2
2015-03-23, Version 0.12.1
2015-03-23, Version 0.10.38
2015-03-20, Version 1.6.1
2015-03-19, Version 1.6.0
2015-03-11, Version 0.10.37
2015-03-09, Version 1.5.1
2015-03-06, Version 1.5.0
2015-03-02, Version 1.4.3
2015-02-28, Version 1.4.2
2015-02-26, Version 1.4.1
2015-02-20, Version 1.3.0
2015-02-10, Version 1.2.0
2015-02-06, Version 0.12.0
2015-02-03, Version 1.1.0
2015-01-26, Version 0.10.36
2015-01-24, Version 1.0.4
2015-01-20, Version 1.0.3
2015-01-16, Version 1.0.2
2015-01-14, Version 1.0.1
2014.09.24, Version 0.11.14 
2014.05.01, Version 0.11.13 
2014.03.11, Version 0.11.12 
2014.01.29, Version 0.11.11 
2013.12.31, Version 0.11.10 
2013.11.20, Version 0.11.9 
2013.10.30, Version 0.11.8 
2013.08.21, Version 0.11.7 
2013.08.21, Version 0.11.6 
2013.08.06, Version 0.11.5 
2013.07.12, Version 0.11.4 
2013.06.26, Version 0.11.3 
2013.05.13, Version 0.11.2 
2013.04.19, Version 0.11.1 
2013.03.28, Version 0.11.0 
2014.12.22, Version 0.10.35 
2014.12.17, Version 0.10.34 
2014.10.20, Version 0.10.33 
2014.09.16, Version 0.10.32 
2014.08.19, Version 0.10.31 
2014.07.31, Version 0.10.30 
2014.06.05, Version 0.10.29 
2014.05.01, Version 0.10.28 
2014.05.01, Version 0.10.27 
2014.02.18, Version 0.10.26 
2014.01.23, Version 0.10.25 
2013.12.18, Version 0.10.24 
2013.12.12, Version 0.10.23 
2013.11.12, Version 0.10.22 
2013.10.18, Version 0.10.21 
2013.09.30, Version 0.10.20 
2013.09.24, Version 0.10.19 
2013.09.04, Version 0.10.18 
2013.08.21, Version 0.10.17 
2013.08.16, Version 0.10.16 
2013.07.25, Version 0.10.15 
2013.07.25, Version 0.10.14 
2013.07.09, Version 0.10.13 
2013.06.18, Version 0.10.12 
2013.06.13, Version 0.10.11 
2013.06.04, Version 0.10.10 
2013.05.30, Version 0.10.9 
2013.05.24, Version 0.10.8 
2013.05.17, Version 0.10.7 
2013.05.14, Version 0.10.6 
2013.04.23, Version 0.10.5 
2013.04.11, Version 0.10.4 
2013.04.03, Version 0.10.3 
2013.03.28, Version 0.10.2 
2013.03.21, Version 0.10.1 
2013.03.11, Version 0.10.0 
2013.03.06, Version 0.9.12 
2013.03.01, Version 0.9.11 
2013.02.19, Version 0.9.10 
2013.02.07, Version 0.9.9 
2013.01.24, Version 0.9.8 
2013.01.18, Version 0.9.7 
2013.01.11, Version 0.9.6 
2012.12.30, Version 0.9.5 
2012.12.21, Version 0.9.4 
2012.10.24, Version 0.9.3 
2012.09.17, Version 0.9.2 
2012.08.28, Version 0.9.1 
2012.07.20, Version 0.9.0 
2013.06.13, Version 0.8.25 
2013.06.04, Version 0.8.24 
2013.04.09, Version 0.8.23 
2013.03.07, Version 0.8.22 
2013.02.25, Version 0.8.21 
2013.02.15, Version 0.8.20 
2013.02.06, Version 0.8.19 
2013.01.18, Version 0.8.18 
2013.01.09, Version 0.8.17 
2012.12.13, Version 0.8.16 
2012.11.26, Version 0.8.15 
2012.10.25, Version 0.8.14 
2012.10.25, Version 0.8.13 
2012.10.12, Version 0.8.12 
2012.09.27, Version 0.8.11 
2012.09.25, Version 0.8.10 
2012.09.11, Version 0.8.9 
2012.08.22, Version 0.8.8 
2012.08.15, Version 0.8.7 
2012.08.07, Version 0.8.6 
2012.08.02, Version 0.8.5 
2012.07.25, Version 0.8.4 
2012.07.19, Version 0.8.3 
2012.07.09, Version 0.8.2 
2012.06.29, Version 0.8.1 
2012.06.25, Version 0.8.0 
2012.06.19, Version 0.7.12 
2012.06.15, Version 0.7.11 
2012.06.11, Version 0.7.10 
2012.05.28, Version 0.7.9 
2012.04.18, Version 0.7.8 
2012.03.30, Version 0.7.7 
2012.03.13, Version 0.7.6 
2012.02.23, Version 0.7.5 
2012.02.14, Version 0.7.4 
2012.02.07, Version 0.7.3 
2012.02.01, Version 0.7.2 
2012.01.23, Version 0.7.1 
2012.01.16, Version 0.7.0 
2012.07.10 Version 0.6.20 
2012.06.06 Version 0.6.19 
2012.05.15 Version 0.6.18 
2012.05.04 Version 0.6.17 
2012.04.30 Version 0.6.16 
2012.04.09 Version 0.6.15 
2012.03.22 Version 0.6.14 
2012.03.15 Version 0.6.13 
2012.03.02 Version 0.6.12 
2012.02.17 Version 0.6.11 
2012.02.02, Version 0.6.10 
2012.01.27, Version 0.6.9 
2012.01.19, Version 0.6.8 
2012.01.06, Version 0.6.7 
2011.12.14, Version 0.6.6 
2011.12.04, Version 0.6.5 
2011.12.02, Version 0.6.4 
2011.11.25, Version 0.6.3 
2011.11.18, Version 0.6.2 
2011.11.11, Version 0.6.1 
2011.11.04, Version 0.6.0 
2011.10.21, Version 0.5.10 
2011.10.10, Version 0.5.9 
2011.09.30, Version 0.5.8 
2011.09.16, Version 0.5.7 
2011.09.08, Version 0.5.6 
2011.08.26, Version 0.5.5 
2011.08.12, Version 0.5.4 
2011.08.01, Version 0.5.3 
2011.07.22, Version 0.5.2 
2011.07.14, Version 0.5.1 
2011.07.05, Version 0.5.0 
2011.09.15, Version 0.4.12 
2011.08.17, Version 0.4.11 
2011.07.19, Version 0.4.10 
2011.06.29, Version 0.4.9 
2011.05.20, Version 0.4.8 
2011.04.22, Version 0.4.7 
2011.04.13, Version 0.4.6 
2011.04.01, Version 0.4.5 
2011.03.26, Version 0.4.4 
2011.03.18, Version 0.4.3 
2011.03.02, Version 0.4.2 
2011.02.19, Version 0.4.1 
2011.02.10, Version 0.4.0 
2011.02.04, Version 0.3.8 
2011.01.27, Version 0.3.7 
2011.01.21, Version 0.3.6 
2011.01.16, Version 0.3.5 
2011.01.08, Version 0.3.4 
2011.01.02, Version 0.3.3 
2010.12.16, Version 0.3.2 
2010.11.16, Version 0.3.1 
2010.10.23, Version 0.3.0 
2010.08.20, Version 0.2.0
2010.08.13, Version 0.1.104
2010.08.04, Version 0.1.103
2010.07.25, Version 0.1.102
2010.07.16, Version 0.1.101
2010.07.03, Version 0.1.100
2010.06.21, Version 0.1.99
2010.06.11, Version 0.1.98
2010.05.29, Version 0.1.97
2010.05.21, Version 0.1.96
2010.05.13, Version 0.1.95
2010.05.06, Version 0.1.94
2010.04.29, Version 0.1.93
2010.04.23, Version 0.1.92
2010.04.15, Version 0.1.91
2010.04.09, Version 0.1.90
2010.03.19, Version 0.1.33
2010.03.12, Version 0.1.32
2010.03.05, Version 0.1.31
2010.02.22, Version 0.1.30
2010.02.17, Version 0.1.29
2010.02.09, Version 0.1.28
2010.02.03, Version 0.1.27
2010.01.20, Version 0.1.26
2010.01.09, Version 0.1.25
2009.12.31, Version 0.1.24
2009.12.22, Version 0.1.23
2009.12.19, Version 0.1.22
2009.12.06, Version 0.1.21
2009.11.28, Version 0.1.20
2009.11.28, Version 0.1.19
2009.11.17, Version 0.1.18
2009.11.07, Version 0.1.17
2009.11.03, Version 0.1.16
2009.10.28, Version 0.1.15
2009.10.09, Version 0.1.14
2009.09.30, Version 0.1.13
2009.09.24, Version 0.1.12
2009.09.18, Version 0.1.11
2009.09.11, Version 0.1.10
2009.09.05, Version 0.1.9
2009.08.27, Version 0.1.7
